Alert_ID,Received_At,Rule,Category,Detection_Source,Asset_Name,Asset_Criticality,Asset_Type,Source_IP,Destination_IP,Username,User_Privileged,Geo,Event_Count,Severity,Status,Owner,SLA_min,Due_At,Age_h,Repeat_7d,Is_Repeat,RiskScore,Action_Taken,Evidence_Link,Notes,MITRE_Tactic,MITRE_Technique,Playbook,Ticket_ID,False_Positive_Reason
ALRT-0001,2025-09-25T10:10:00,Brute-force login attempts on DC,Authentication,Wazuh,DC-01,High,DomainController,203.0.113.5,10.0.0.10,svc_backup,Yes,EE,50,High,New,,30,,,,,,,,Multiple failed logins; new source IP.,Credential Access,T1110,AUTH-Bruteforce,,
ALRT-0002,2025-09-25T09:35:00,Malware detected and quarantined,Malware,Defender for Endpoint,LT-Jane,Medium,Workstation,198.51.100.23,10.0.0.55,jane,No,EE,1,High,New,,60,,,,,,,,Quarantined: Trojan.Win32.Generic,Execution,T1204,MAL-Quarantined,,
ALRT-0003,2025-09-25T07:05:00,Suspicious PowerShell (encoded command),Endpoint,EDR,SRV-FS01,High,FileServer,10.0.0.21,10.0.0.33,system,Yes,EE,3,Critical,Triage,analyst1,30,,,,,,Process blocked by EDR,,Base64 cmdline seen.,Defense Evasion,T1027,EDR-SuspiciousPS,INC-10234,
ALRT-0004,2025-09-25T04:15:00,Port scan detected,Network,IDS,SRV-WEB01,Medium,WebServer,192.0.2.88,10.0.0.80,,No,DE,200,Low,New,,240,,,,,,,,Likely internet scan; monitor.,Discovery,T1046,NET-Scan,,
ALRT-0005,2025-09-24T09:15:00,Multiple 2FA failures,Identity,Azure AD,LT-Mark,Low,Workstation,203.0.113.77,10.0.0.15,mark,No,US,6,Medium,New,,180,,,,,,,,Unusual geo.,Credential Access,T1110,ID-2FA-Fail,,
ALRT-0006,2025-09-25T10:00:00,Blocked outbound to known C2,Network,Firewall,LT-Jane,Medium,Workstation,10.0.0.55,198.51.100.200,jane,No,EE,4,High,New,,60,,,,,,Blocked by policy,,Matches threat intel list.,Command and Control,T1071,NET-C2-Blocked,,
ALRT-0007,2025-09-24T22:15:00,Suspicious file renamed to .exe,Endpoint,EDR,LT-Kai,Low,Workstation,10.0.0.60,10.0.0.60,kai,No,EE,1,Medium,New,,180,,,,,,,,User downloaded from unknown site.,Execution,T1204,EDR-FileRename,,
ALRT-0008,2025-09-23T08:15:00,Privileged group membership change,Identity,AD Audit,DC-01,High,DomainController,10.0.0.10,10.0.0.10,admin,Yes,EE,1,High,In Progress,analyst2,60,,,,,,Verified approved change,,Change window ticket CAB-555,Privilege Escalation,T1068,ID-GroupChange,INC-10240,
ALRT-0009,2025-09-25T08:45:00,Data exfiltration pattern (large upload),Data,DLP,LT-Jane,Medium,Workstation,10.0.0.55,203.0.113.200,jane,No,EE,2,High,New,,60,,,,,,,,Upload >1GB to unsanctioned site.,Exfiltration,T1041,DLP-Exfil,,
ALRT-0010,2025-09-22T10:10:00,Repeated failed sudo attempts,Authentication,Syslog,SRV-DB02,High,DatabaseServer,10.0.0.70,10.0.0.70,devops,Yes,EE,12,Medium,Closed,analyst1,120,,,,,,User confirmed fat-finger; reset,,Monitored for recurrence.,Privilege Escalation,T1068,AUTH-SudoFail,INC-10200,User error
